Flight;Turn;Aircraft;Frequency;Passengers (332450);;FREQUÊNCIA DO AVIÃO E190-E2;;VOOS DE IDA E190-E2;;E190-E2;SBCF;50
SBGOSBCT;SEG4;E190-E2;0;0;;;;;;;;
SBGOSBCT;SEG4;E195-E2;0;0;;;;;;;;
SBGOSBCT;SEG4;A220-100;0;0;;;;;;;;
SBGOSBCT;SEG4;A220-300;0;0;;;;;;;;
SBGOSBCT;SEG4;A319Neo;0;0;;;;;;;;
SBGOSBCT;SEG4;B737-M7;0;0;;;;;;;;
SBGOSBCT;SEG4;ATR-72;0;0;;;;;;;;
SBGOSBCT;TER1;E190-E2;1;39;;;;;;;;
SBGOSBCT;TER1;E195-E2;0;0;;;;;;;;
SBGOSBCT;TER1;A220-100;0;0;;;;;;;;
SBGOSBCT;TER1;A220-300;0;0;;;;;;;;
SBGOSBCT;TER1;A319Neo;1;41;;;;;;;;
SBGOSBCT;TER1;B737-M7;0;0;;;;;;;;
SBGOSBCT;TER1;ATR-72;1;47;;;;;;;;
SBGOSBCT;TER2;E190-E2;0;0;;;;;;;;
SBGOSBCT;TER2;E195-E2;0;0;;;;;;;;
SBGOSBCT;TER2;A220-100;0;0;;;;;;;;
SBGOSBCT;TER2;A220-300;0;0;;;;;;;;
SBGOSBCT;TER2;A319Neo;0;0;;;;;;;;
SBGOSBCT;TER2;B737-M7;0;0;;;;;;;;
SBGOSBCT;TER2;ATR-72;0;0;;;;;;;;
SBGOSBCT;TER3;E190-E2;0;0;;;;;;;;
SBGOSBCT;TER3;E195-E2;0;0;;;;;;;;
SBGOSBCT;TER3;A220-100;0;0;;;;;;;;
SBGOSBCT;TER3;A220-300;0;0;;;;;;;;
SBGOSBCT;TER3;A319Neo;0;0;;;;;;;;
SBGOSBCT;TER3;B737-M7;0;0;;;;;;;;
SBGOSBCT;TER3;ATR-72;0;0;;;;;;;;
SBGOSBCT;TER4;E190-E2;0;0;;;;;;;;
SBGOSBCT;TER4;E195-E2;0;0;;;;;;;;
SBGOSBCT;TER4;A220-100;0;0;;;;;;;;
SBGOSBCT;TER4;A220-300;0;0;;;;;;;;
SBGOSBCT;TER4;A319Neo;0;0;;;;;;;;
SBGOSBCT;TER4;B737-M7;0;0;;;;;;;;
SBGOSBCT;TER4;ATR-72;0;0;;;;;;;;
SBGOSBCT;QUA1;E190-E2;1;39;;;;;;;;
SBGOSBCT;QUA1;E195-E2;1;1;;;;;;;;
SBGOSBCT;QUA1;A220-100;0;0;;;;;;;;
SBGOSBCT;QUA1;A220-300;0;0;;;;;;;;
SBGOSBCT;QUA1;A319Neo;1;7;;;;;;;;
SBGOSBCT;QUA1;B737-M7;1;3;;;;;;;;
SBGOSBCT;QUA1;ATR-72;1;36;;;;;;;;
SBGOSBCT;QUA2;E190-E2;0;0;;;;;;;;
SBGOSBCT;QUA2;E195-E2;0;0;;;;;;;;
SBGOSBCT;QUA2;A220-100;0;0;;;;;;;;
SBGOSBCT;QUA2;A220-300;0;0;;;;;;;;
SBGOSBCT;QUA2;A319Neo;0;0;;;;;;;;
SBGOSBCT;QUA2;B737-M7;0;0;;;;;;;;
SBGOSBCT;QUA2;ATR-72;0;0;;;;;;;;
SBGOSBCT;QUA3;E190-E2;0;0;;;;;;;;
SBGOSBCT;QUA3;E195-E2;0;0;;;;;;;;
SBGOSBCT;QUA3;A220-100;0;0;;;;;;;;
SBGOSBCT;QUA3;A220-300;0;0;;;;;;;;
SBGOSBCT;QUA3;A319Neo;0;0;;;;;;;;
SBGOSBCT;QUA3;B737-M7;0;0;;;;;;;;
SBGOSBCT;QUA3;ATR-72;0;0;;;;;;;;
SBGOSBCT;QUA4;E190-E2;0;0;;;;;;;;
SBGOSBCT;QUA4;E195-E2;0;0;;;;;;;;
SBGOSBCT;QUA4;A220-100;0;0;;;;;;;;
SBGOSBCT;QUA4;A220-300;0;0;;;;;;;;
SBGOSBCT;QUA4;A319Neo;0;0;;;;;;;;
SBGOSBCT;QUA4;B737-M7;0;0;;;;;;;;
SBGOSBCT;QUA4;ATR-72;0;0;;;;;;;;
SBGOSBCT;QUI1;E190-E2;0;0;;;;;;;;
SBGOSBCT;QUI1;E195-E2;0;0;;;;;;;;
SBGOSBCT;QUI1;A220-100;1;116;;;;;;;;
SBGOSBCT;QUI1;A220-300;0;0;;;;;;;;
SBGOSBCT;QUI1;A319Neo;1;57;;;;;;;;
SBGOSBCT;QUI1;B737-M7;1;80;;;;;;;;
SBGOSBCT;QUI1;ATR-72;1;36;;;;;;;;
SBGOSBCT;QUI2;E190-E2;0;0;;;;;;;;
SBGOSBCT;QUI2;E195-E2;0;0;;;;;;;;
SBGOSBCT;QUI2;A220-100;0;0;;;;;;;;
SBGOSBCT;QUI2;A220-300;0;0;;;;;;;;
SBGOSBCT;QUI2;A319Neo;0;0;;;;;;;;
SBGOSBCT;QUI2;B737-M7;0;0;;;;;;;;
SBGOSBCT;QUI2;ATR-72;0;0;;;;;;;;
SBGOSBCT;QUI3;E190-E2;0;0;;;;;;;;
SBGOSBCT;QUI3;E195-E2;0;0;;;;;;;;
SBGOSBCT;QUI3;A220-100;0;0;;;;;;;;
SBGOSBCT;QUI3;A220-300;0;0;;;;;;;;
SBGOSBCT;QUI3;A319Neo;0;0;;;;;;;;
SBGOSBCT;QUI3;B737-M7;0;0;;;;;;;;
SBGOSBCT;QUI3;ATR-72;0;0;;;;;;;;
SBGOSBCT;QUI4;E190-E2;0;0;;;;;;;;
SBGOSBCT;QUI4;E195-E2;0;0;;;;;;;;
SBGOSBCT;QUI4;A220-100;0;0;;;;;;;;
SBGOSBCT;QUI4;A220-300;0;0;;;;;;;;
SBGOSBCT;QUI4;A319Neo;0;0;;;;;;;;
SBGOSBCT;QUI4;B737-M7;0;0;;;;;;;;
SBGOSBCT;QUI4;ATR-72;0;0;;;;;;;;
SBGOSBCT;SEX1;E190-E2;0;0;;;;;;;;
SBGOSBCT;SEX1;E195-E2;0;0;;;;;;;;
SBGOSBCT;SEX1;A220-100;0;0;;;;;;;;
SBGOSBCT;SEX1;A220-300;0;0;;;;;;;;
SBGOSBCT;SEX1;A319Neo;0;0;;;;;;;;
SBGOSBCT;SEX1;B737-M7;1;56;;;;;;;;
SBGOSBCT;SEX1;ATR-72;1;8;;;;;;;;
SBGOSBCT;SEX2;E190-E2;0;0;;;;;;;;
SBGOSBCT;SEX2;E195-E2;0;0;;;;;;;;
SBGOSBCT;SEX2;A220-100;0;0;;;;;;;;
SBGOSBCT;SEX2;A220-300;0;0;;;;;;;;
SBGOSBCT;SEX2;A319Neo;0;0;;;;;;;;
SBGOSBCT;SEX2;B737-M7;0;0;;;;;;;;
SBGOSBCT;SEX2;ATR-72;0;0;;;;;;;;
SBGOSBCT;SEX3;E190-E2;0;0;;;;;;;;
SBGOSBCT;SEX3;E195-E2;0;0;;;;;;;;
SBGOSBCT;SEX3;A220-100;0;0;;;;;;;;
SBGOSBCT;SEX3;A220-300;0;0;;;;;;;;
SBGOSBCT;SEX3;A319Neo;0;0;;;;;;;;
SBGOSBCT;SEX3;B737-M7;0;0;;;;;;;;
SBGOSBCT;SEX3;ATR-72;0;0;;;;;;;;
SBGOSBCT;SEX4;E190-E2;0;0;;;;;;;;
SBGOSBCT;SEX4;E195-E2;0;0;;;;;;;;
SBGOSBCT;SEX4;A220-100;0;0;;;;;;;;
SBGOSBCT;SEX4;A220-300;0;0;;;;;;;;
SBGOSBCT;SEX4;A319Neo;0;0;;;;;;;;
SBGOSBCT;SEX4;B737-M7;0;0;;;;;;;;
SBGOSBCT;SEX4;ATR-72;0;0;;;;;;;;
SBGOSBCT;SAB1;E190-E2;1;113;;;;;;;;
SBGOSBCT;SAB1;E195-E2;1;64;;;;;;;;
SBGOSBCT;SAB1;A220-100;0;0;;;;;;;;
SBGOSBCT;SAB1;A220-300;0;0;;;;;;;;
SBGOSBCT;SAB1;A319Neo;1;32;;;;;;;;
SBGOSBCT;SAB1;B737-M7;0;0;;;;;;;;
SBGOSBCT;SAB1;ATR-72;1;25;;;;;;;;
SBGOSBCT;SAB2;E190-E2;0;0;;;;;;;;
SBGOSBCT;SAB2;E195-E2;0;0;;;;;;;;
SBGOSBCT;SAB2;A220-100;0;0;;;;;;;;
SBGOSBCT;SAB2;A220-300;0;0;;;;;;;;
SBGOSBCT;SAB2;A319Neo;0;0;;;;;;;;
SBGOSBCT;SAB2;B737-M7;0;0;;;;;;;;
SBGOSBCT;SAB2;ATR-72;0;0;;;;;;;;
SBGOSBCT;SAB3;E190-E2;0;0;;;;;;;;
SBGOSBCT;SAB3;E195-E2;0;0;;;;;;;;
SBGOSBCT;SAB3;A220-100;0;0;;;;;;;;
SBGOSBCT;SAB3;A220-300;0;0;;;;;;;;
SBGOSBCT;SAB3;A319Neo;0;0;;;;;;;;
SBGOSBCT;SAB3;B737-M7;0;0;;;;;;;;
SBGOSBCT;SAB3;ATR-72;0;0;;;;;;;;
SBGOSBCT;SAB4;E190-E2;0;0;;;;;;;;
SBGOSBCT;SAB4;E195-E2;0;0;;;;;;;;
SBGOSBCT;SAB4;A220-100;0;0;;;;;;;;
SBGOSBCT;SAB4;A220-300;0;0;;;;;;;;
SBGOSBCT;SAB4;A319Neo;0;0;;;;;;;;
SBGOSBCT;SAB4;B737-M7;0;0;;;;;;;;
SBGOSBCT;SAB4;ATR-72;0;0;;;;;;;;
SBGOSBCT;DOM1;E190-E2;0;0;;;;;;;;
SBGOSBCT;DOM1;E195-E2;0;0;;;;;;;;
SBGOSBCT;DOM1;A220-100;0;0;;;;;;;;
SBGOSBCT;DOM1;A220-300;0;0;;;;;;;;
SBGOSBCT;DOM1;A319Neo;1;17;;;;;;;;
SBGOSBCT;DOM1;B737-M7;1;68;;;;;;;;
SBGOSBCT;DOM1;ATR-72;1;123;;;;;;;;
SBGOSBCT;DOM2;E190-E2;0;0;;;;;;;;
SBGOSBCT;DOM2;E195-E2;0;0;;;;;;;;
SBGOSBCT;DOM2;A220-100;0;0;;;;;;;;
SBGOSBCT;DOM2;A220-300;0;0;;;;;;;;
SBGOSBCT;DOM2;A319Neo;0;0;;;;;;;;
SBGOSBCT;DOM2;B737-M7;0;0;;;;;;;;
SBGOSBCT;DOM2;ATR-72;0;0;;;;;;;;
SBGOSBCT;DOM3;E190-E2;0;0;;;;;;;;
SBGOSBCT;DOM3;E195-E2;0;0;;;;;;;;
SBGOSBCT;DOM3;A220-100;0;0;;;;;;;;
SBGOSBCT;DOM3;A220-300;0;0;;;;;;;;
SBGOSBCT;DOM3;A319Neo;0;0;;;;;;;;
SBGOSBCT;DOM3;B737-M7;0;0;;;;;;;;
SBGOSBCT;DOM3;ATR-72;0;0;;;;;;;;
SBGOSBCT;DOM4;E190-E2;0;0;;;;;;;;
SBGOSBCT;DOM4;E195-E2;0;0;;;;;;;;
SBGOSBCT;DOM4;A220-100;0;0;;;;;;;;
SBGOSBCT;DOM4;A220-300;0;0;;;;;;;;
SBGOSBCT;DOM4;A319Neo;0;0;;;;;;;;
SBGOSBCT;DOM4;B737-M7;0;0;;;;;;;;
SBGOSBCT;DOM4;ATR-72;0;0;;;;;;;;
SBGOSBCY;SEG1;E190-E2;1;27;;;;;;;;
SBGOSBCY;SEG1;E195-E2;1;35;;;;;;;;
SBGOSBCY;SEG1;A220-100;1;38;;;;;;;;
SBGOSBCY;SEG1;A220-300;0;0;;;;;;;;
SBGOSBCY;SEG1;A319Neo;1;17;;;;;;;;
SBGOSBCY;SEG1;B737-M7;1;29;;;;;;;;
SBGOSBCY;SEG1;ATR-72;1;1;;;;;;;;
SBGOSBCY;SEG2;E190-E2;0;0;;;;;;;;
SBGOSBCY;SEG2;E195-E2;0;0;;;;;;;;
SBGOSBCY;SEG2;A220-100;0;0;;;;;;;;
SBGOSBCY;SEG2;A220-300;0;0;;;;;;;;
SBGOSBCY;SEG2;A319Neo;0;0;;;;;;;;
SBGOSBCY;SEG2;B737-M7;0;0;;;;;;;;
SBGOSBCY;SEG2;ATR-72;0;0;;;;;;;;
SBGOSBCY;SEG3;E190-E2;0;0;;;;;;;;
SBGOSBCY;SEG3;E195-E2;0;0;;;;;;;;
SBGOSBCY;SEG3;A220-100;0;0;;;;;;;;
SBGOSBCY;SEG3;A220-300;0;0;;;;;;;;
SBGOSBCY;SEG3;A319Neo;0;0;;;;;;;;
SBGOSBCY;SEG3;B737-M7;0;0;;;;;;;;
SBGOSBCY;SEG3;ATR-72;0;0;;;;;;;;
SBGOSBCY;SEG4;E190-E2;0;0;;;;;;;;
SBGOSBCY;SEG4;E195-E2;0;0;;;;;;;;
SBGOSBCY;SEG4;A220-100;0;0;;;;;;;;
SBGOSBCY;SEG4;A220-300;0;0;;;;;;;;
SBGOSBCY;SEG4;A319Neo;0;0;;;;;;;;
SBGOSBCY;SEG4;B737-M7;0;0;;;;;;;;
SBGOSBCY;SEG4;ATR-72;0;0;;;;;;;;
SBGOSBCY;TER1;E190-E2;1;13;;;;;;;;
SBGOSBCY;TER1;E195-E2;0;0;;;;;;;;
SBGOSBCY;TER1;A220-100;1;27;;;;;;;;
SBGOSBCY;TER1;A220-300;0;0;;;;;;;;
SBGOSBCY;TER1;A319Neo;1;42;;;;;;;;
SBGOSBCY;TER1;B737-M7;1;10;;;;;;;;
SBGOSBCY;TER1;ATR-72;1;31;;;;;;;;
SBGOSBCY;TER2;E190-E2;0;0;;;;;;;;
SBGOSBCY;TER2;E195-E2;0;0;;;;;;;;
SBGOSBCY;TER2;A220-100;0;0;;;;;;;;
SBGOSBCY;TER2;A220-300;0;0;;;;;;;;
